"Any","Trimestre","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Preu_mitja_habitatge","Valor"
2020,1,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Usat. Milers d'euros","460.4"
2020,1,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Usat. Milers d'euros","377.5"
2020,1,2,"Eixample",10,"Sant Antoni","Usat. Milers d'euros","355.0"
2020,1,3,"Sants-Montjuïc",11,"el Poble Sec","Usat. Milers d'euros","233.4"
2020,1,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Usat. Milers d'euros","164.7"
2020,1,3,"Sants-Montjuïc",13,"la Marina de Port","Usat. Milers d'euros","183.2"
2020,1,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Usat. Milers d'euros","271.7"
2020,1,3,"Sants-Montjuïc",15,"Hostafrancs","Usat. Milers d'euros","283.9"
2020,1,3,"Sants-Montjuïc",16,"la Bordeta","Usat. Milers d'euros","223.2"
2020,1,3,"Sants-Montjuïc",17,"Sants - Badal","Usat. Milers d'euros","239.2"
2020,1,3,"Sants-Montjuïc",18,"Sants","Usat. Milers d'euros","299.3"
2020,1,4,"Les Corts",19,"les Corts","Usat. Milers d'euros","398.5"
2020,1,4,"Les Corts",20,"la Maternitat i Sant Ramon","Usat. Milers d'euros","408.9"
2020,1,4,"Les Corts",21,"Pedralbes","Usat. Milers d'euros","733.5"
2020,1,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Usat. Milers d'euros","293.8"
2020,1,5,"Sarrià-Sant Gervasi",23,"Sarrià","Usat. Milers d'euros","678.4"
2020,1,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Usat. Milers d'euros","781.1"
2020,1,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Usat. Milers d'euros","599.2"
2020,1,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Usat. Milers d'euros","699.1"
2020,1,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Usat. Milers d'euros","496.9"
2020,1,6,"Gràcia",28,"Vallcarca i els Penitents","Usat. Milers d'euros","363.1"
2020,1,6,"Gràcia",29,"el Coll","Usat. Milers d'euros","337.7"
2020,1,6,"Gràcia",30,"la Salut","Usat. Milers d'euros","334.0"
